Run,Algorithm,Hypervolume,IGD,Spread,Pareto Solutions
Run1,NSGA2Algorithm,2696512.0,98.6204362943941,8.888888888888888,8
Run1,NSGA3Algorithm,2554280.0,163.2150212556872,417.22485164153295,8
Run1,SPEA2Algorithm,2633276.0,273.6610269931985,2343.393075210517,11
Run10,NSGA2Algorithm,2659500.0,169.29411724508566,0.617258300203048,7
Run10,NSGA3Algorithm,2531140.0,52.860928222327786,678.7402127789748,9
Run10,SPEA2Algorithm,2594176.0,75.06273442697535,2976.75,6
Run2,NSGA2Algorithm,2544332.0,146.0458941083077,990.38338069403,11
Run2,NSGA3Algorithm,2697344.0,98.8426574838292,4.888888888888888,8
Run2,SPEA2Algorithm,2696360.0,102.6777004899279,608.2436443416569,4
Run3,NSGA2Algorithm,2784128.0,39.222381406868436,109.37529955288578,7
Run3,NSGA3Algorithm,2591536.0,202.35426876120337,314.7357189141312,7
Run3,SPEA2Algorithm,2569156.0,88.29402806622214,1328.8081769918215,9
Run4,NSGA2Algorithm,2675320.0,164.13729245687838,254.66196665993346,8
Run4,NSGA3Algorithm,2587788.0,52.13626678064459,41.49918265021621,11
Run4,SPEA2Algorithm,2733836.0,65.3263874595441,810.7567277044856,8
Run5,NSGA2Algorithm,2571776.0,280.2559490352053,433.09072498683145,22
Run5,NSGA3Algorithm,2429980.0,243.15145448645495,8497.702904114481,10
Run5,SPEA2Algorithm,2710536.0,253.061819421943,577.5445222356228,5
Run6,NSGA2Algorithm,2659500.0,169.29411724508566,2.9716851115623286,5
Run6,NSGA3Algorithm,2637060.0,163.18338024880597,1.7536796564403574,10
Run6,SPEA2Algorithm,2720192.0,133.05256159858277,1443.7487458127193,11
Run7,NSGA2Algorithm,2660724.0,169.6274340779941,0.1525092224478311,6
Run7,NSGA3Algorithm,2764744.0,133.01256220283835,260.87346798280066,10
Run7,SPEA2Algorithm,2669800.0,23.85116709287974,1530.6196326789868,13
Run8,NSGA2Algorithm,2737044.0,45.46354649320702,212.74516600406096,4
Run8,NSGA3Algorithm,2657868.0,168.84969532145175,0.8001122363085188,8
Run8,SPEA2Algorithm,2667156.0,55.65303644655798,3207.9185326469023,7
Run9,NSGA2Algorithm,2670620.0,22.851872666611655,764.7500240708827,14
Run9,NSGA3Algorithm,2775852.0,36.55572441703654,72.8796845084309,18
Run9,SPEA2Algorithm,2653968.0,29.03214684707697,1179.8060781105355,7
